full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,insurance_value,transmission_type_value,fuel_type_value,body_type_value,owner_type_Value
i Baleno 1.2 Alpha,545000.0,2017,1197,Third Party,Manual,40000,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra,2,1,1,1,1
Hexa XTA,1000000.0,2018,2179,Third Party,Automatic,70000,First Owner,Diesel,153.86,7.0,17.6,MUV,Agra,2,2,2,4,1
i Swift Dzire VXI,450000.0,2015,1197,Third Party,Manual,70000,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,2,1,1,2,2
ai i10 Magna 1.1,160000.0,2009,1086,Third Party,Manual,80000,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2,1,1,1,1
ai i20 Active 1.2,470000.0,2015,1197,Third Party,Manual,70000,First Owner,Petrol,81.86,5.0,17.19,Hatchback,Agra,2,1,1,1,1
Tiago 1.05 Revotorq XZ,360000.0,2017,1047,Third Party,Manual,120000,First Owner,Diesel,69.0,5.0,27.28,Hatchback,Agra,2,1,2,1,1
ai i10 Magna 1.1,200000.0,2010,1086,Third Party,Manual,60000,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2,1,1,1,2
i Eeco 7 Seater Standard BSIV,370000.0,2016,1196,Third Party,Manual,20000,First Owner,Petrol,73.0,7.0,15.37,Minivans,Agra,2,1,1,5,1
 Amaze E i-Vtech,330000.0,2014,1198,Third Party,Manual,70000,First Owner,Petrol,86.7,5.0,18.0,Sedan,Agra,2,1,1,2,1
ai Xcent 1.2 VTVT SX,475000.0,2018,1197,Third Party,Manual,60000,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra,2,1,1,2,2
i Ciaz Sigma BSIV,686000.0,2020,1462,Third Party,Manual,50000,Third Owner,Petrol,103.25,5.0,21.56,Sedan,Agra,2,1,1,2,3
ai Venue SX Opt Executive Diesel,1250000.0,2021,1493,Third Party,Manual,60000,First Owner,Diesel,98.6,5.0,23.7,SUV,Agra,2,1,2,3,1
ai Venue SX Dual Tone Diesel BSIV,1100000.0,2021,1396,Third Party,Manual,60000,First Owner,Diesel,89.0,5.0,23.7,SUV,Agra,2,1,2,3,1
i Alto K10 VXI AGS Optional,395000.0,2019,998,Third Party,Automatic,20000,First Owner,Petrol,67.1,5.0,23.95,Hatchback,Agra,2,2,1,1,1
i Wagon R LXI CNG,350000.0,2016,998,Third Party,Manual,40000,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,2,1,3,1,1
a Etios VX,289000.0,2011,1496,Third Party,Manual,50000,Second Owner,Petrol,88.7,5.0,17.6,Sedan,Agra,2,1,1,2,2
a Corolla Altis Diesel D4DGL,282000.0,2011,1364,Third Party,Manual,150000,First Owner,Diesel,87.2,5.0,21.43,Sedan,Agra,2,1,2,2,1
onet HTX Plus Turbo iMT BSVI,1000000.0,2021,998,Third Party,Manual,10000,First Owner,Petrol,118.36,5.0,18.2,SUV,Agra,2,1,1,3,1
i Ciaz Alpha BSVI,785000.0,2020,1462,Third Party,Manual,30000,Second Owner,Petrol,103.25,5.0,20.65,Sedan,Agra,2,1,1,2,2
Ecosport 1.5 DV5 MT Ambiente,300000.0,2014,1498,Third Party,Manual,150000,Third Owner,Diesel,89.84,5.0,22.7,SUV,Agra,2,1,2,3,3
